source,approach,compound,predictor,exposure,quantile,population,concentration,PAD,%PAD
Aylward et al. 2018,Dietary Exposure Evaluation Model,Deltamethrin,Food consumption,Chronic,Upper,Total,0.0000019,0.0149,0.0128
Aylward et al. 2018,Dietary Exposure Evaluation Model,Permethrin,Food consumption,Chronic,Upper,Total,0.0018,0.44,0.4091
Aylward et al. 2018,Dietary Exposure Evaluation Model,Cypermethrin,Food consumption,Chronic,Upper,Total,0.00061,0.0716,0.852
EPA 2023,Dietary Exposure Evaluation Model,Deltamethrin,Food consumption,Chronic,Median,1- 2 yrs,0.000596,0.0149,4
EPA 2023,Dietary Exposure Evaluation Model,Deltamethrin,Food consumption,Acute,Median,1- 2 yrs,0.003588,0.0149,24.0805
EPA 2023,Dietary Exposure Evaluation Model,Deltamethrin,Food consumption,Chronic,Median,6- 12 yrs,0.000323,0.0149,2.1678
EPA 2023,Dietary Exposure Evaluation Model,Deltamethrin,Food consumption,Acute,Median,6- 12 yrs,0.002325,0.0149,15.604
EPA,Dietary Exposure Evaluation Model,Cyfluthrin,Food consumption,Chronic,Median,6- 12 yrs,0.000921,0.0117,7.8718
EPA,Dietary Exposure Evaluation Model,Cyfluthrin,Food consumption,Acute,Median,6- 12 yrs,0.00239,0.0117,20.4274
EPA,Dietary Exposure Evaluation Model,Permethrin,Food consumption,Chronic,Median,6- 12 yrs,0.00109,0.44,0.2477
EPA,Dietary Exposure Evaluation Model,Permethrin,Food consumption,Acute,Median,6- 12 yrs,0.0265,0.44,6.0227
EPA,Dietary Exposure Evaluation Model,Cypermethrin,Food consumption,Chronic,Median,6- 12 yrs,0.000294,0.0716,0.4106
EPA,Dietary Exposure Evaluation Model,Cypermethrin,Food consumption,Acute,Median,6- 12 yrs,0.01256,0.0716,17.5419
EPA 2023,Dietary Exposure Evaluation Model,Deltamethrin,Food consumption,Chronic,Median,3- 5 yrs,0.000544,0.0149,3.651
EPA 2023,Dietary Exposure Evaluation Model,Deltamethrin,Food consumption,Acute,Median,3- 5 yrs,0.0039,0.0149,26.1745
EPA,Dietary Exposure Evaluation Model,Cyfluthrin,Food consumption,Chronic,Median,3- 5 yrs,0.00157,0.0117,13.4188
EPA,Dietary Exposure Evaluation Model,Cyfluthrin,Food consumption,Acute,Median,3- 5 yrs,0.003227,0.0117,27.5812
EPA,Dietary Exposure Evaluation Model,Permethrin,Food consumption,Chronic,Median,3- 5 yrs,0.00222,0.44,0.5045
EPA,Dietary Exposure Evaluation Model,Permethrin,Food consumption,Acute,Median,3- 5 yrs,0.041856,0.44,9.5127
EPA,Dietary Exposure Evaluation Model,Cypermethrin,Food consumption,Chronic,Median,3- 5 yrs,0.000544,0.0716,0.7598
EPA,Dietary Exposure Evaluation Model,Cypermethrin,Food consumption,Acute,Median,3- 5 yrs,0.022196,0.0716,31
Stanfield et al. 2022,High-throughput model,Deltamethrin,Biomonitoring,Chronic,Median,6- 11 yrs,0.0000198,0.0149,0.1329
Stanfield et al. 2022,High-throughput model,Deltamethrin,Biomonitoring,Chronic,Upper,6- 11 yrs,0.0000438,0.0149,0.294
Stanfield et al. 2022,High-throughput model,Cyfluthrin,Biomonitoring,Chronic,Median,6- 11 yrs,0.000000937,0.0117,0.008
Stanfield et al. 2022,High-throughput model,Cyfluthrin,Biomonitoring,Chronic,Upper,6- 11 yrs,0.00000176,0.0117,0.015
Stanfield et al. 2022,High-throughput model,Permethrin,Biomonitoring,Chronic,Median,6- 11 yrs,0.00000149,0.44,0.0003
Stanfield et al. 2022,High-throughput model,Permethrin,Biomonitoring,Chronic,Upper,6- 11 yrs,0.0000219,0.44,0.005
Stanfield et al. 2022,High-throughput model,Cypermethrin,Biomonitoring,Chronic,Median,6- 11 yrs,0.00000154,0.0716,0.0022
